     StepLength           Rate         Energy       Variance           Time
     0.10000000     0.97957000      150.00000  3.6379788E-12      10.757682
     0.20000000     0.94833000      150.00000  3.6379788E-12      10.669665
     0.30000000     0.92301000      150.00000  3.6379788E-12      10.816517
     0.40000000     0.89249000      150.00000  3.6379788E-12      12.044642
     0.50000000     0.86690000      150.00000  3.6379788E-12      10.783713
     0.60000000     0.84293000      150.00000  3.6379788E-12      10.791449
     0.70000000     0.81454000      150.00000  3.6379788E-12      11.490373
     0.80000000     0.78817000      150.00000  3.6379788E-12      10.769464
     0.90000000     0.76242000      150.00000  3.6379788E-12      10.670175
      1.0000000     0.73618000      150.00000  3.6379788E-12      10.552420
      1.1000000     0.70654000      150.00000  3.6379788E-12      10.573065
      1.2000000     0.68670000      150.00000  3.6379788E-12      10.443933
      1.3000000     0.66149000      150.00000  3.6379788E-12      10.536865
      1.4000000     0.63855000      150.00000  3.6379788E-12      10.477813
      1.5000000     0.61578000      150.00000  3.6379788E-12      11.783555
      1.6000000     0.59264000      150.00000  3.6379788E-12      10.638855
      1.7000000     0.57005000      150.00000  3.6379788E-12      10.756541
      1.8000000     0.54650000      150.00000  3.6379788E-12      10.696074
      1.9000000     0.52438000      150.00000  3.6379788E-12      10.765483
      2.0000000     0.50357000      150.00000  3.6379788E-12      10.952072
