     StepLength           Rate         Energy       Variance           Time
     0.10000000     0.96461000      24.110835     0.10271189      147.43792
     0.20000000     0.93237000      24.127004      2.8537706      147.06700
     0.30000000     0.89818000      24.006746      80.052652      147.27885
     0.40000000     0.86386000      24.111955      2.9225286      147.07642
     0.50000000     0.82958000      24.076558      8.3962284      147.08937
     0.60000000     0.79886000      24.118129      1.0620956      147.12226
     0.70000000     0.76696000      24.127485     0.43066938      147.07613
     0.80000000     0.73234000      24.132252     0.15064066      147.33895
     0.90000000     0.70016000      24.112015      9.9244299      147.18912
      1.0000000     0.67325000      24.026842      169.97524      147.07458
      1.1000000     0.64163000      24.081610      59.443049      147.55839
      1.2000000     0.61395000      24.133708     0.34186015      147.12805
      1.3000000     0.58721000      24.130239     0.18502217      147.24688
      1.4000000     0.55838000      24.134339    0.069151578      147.23111
      1.5000000     0.53044000      24.069763      53.146502      147.08642
      1.6000000     0.50687000      24.106344      1.3987825      147.19968
      1.7000000     0.47994000      24.140280    0.030900964      147.12188
      1.8000000     0.45548000      24.130104     0.14111594      147.10769
      1.9000000     0.43175000      24.121559     0.49126488      147.06812
      2.0000000     0.41242000      24.121079      2.6970223      147.72589
