          Alpha         Energy     Derivative
     0.60789628      264.81155      221.00189
     0.58579609      255.93734      292.87986
     0.55650810      255.68114      108.18373
     0.54568973      251.17825      211.43358
     0.52454637      248.96149      53.309207
     0.51921545      248.46700      37.420057
     0.51547344      247.24889      49.690349
     0.51050441      246.24057      47.023626
     0.50580205      245.65517    0.058390227
     0.50579621      246.01767     0.51497653
     0.50574471      244.99195     -33.175392
     0.50906225      246.27897      28.763731
     0.50618588      245.83339      10.191735
     0.50516670      245.90995      3.4269162
     0.50482401      245.97282     0.80289013
     0.50474372      245.28757      2.4788110
     0.50449584      245.37743     -7.8889643
     0.50528474      245.81525      7.3680207
     0.50454793      245.48043      5.9533689
     0.50395260      245.45182     -3.7395985
     0.50432656      245.56456    -0.35037674
     0.50436159      245.52478      11.648379
     0.50319676      245.34874      2.0892211
     0.50298783      245.34314     -1.4194026
