           Bins        Counter
      0.0000000          26149
     0.10000000          15130
     0.20000000           9629
     0.30000000           7495
     0.40000000           4105
     0.50000000           2067
     0.60000000           1207
     0.70000000            598
     0.80000000            234
     0.90000000            218
      1.0000000            125
      1.1000000             44
      1.2000000            106
      1.3000000              2
      1.4000000              2
      1.5000000             29
      1.6000000              0
      1.7000000              0
      1.8000000              0
      1.9000000              0
