           Bins        Counter
      0.0000000          24043
     0.10000000          16739
     0.20000000          11247
     0.30000000           6105
     0.40000000           3672
     0.50000000           1862
     0.60000000           1166
     0.70000000            635
     0.80000000            265
     0.90000000            357
      1.0000000            222
      1.1000000             68
      1.2000000              5
      1.3000000             26
      1.4000000              9
      1.5000000              0
      1.6000000              0
      1.7000000              0
      1.8000000              0
      1.9000000              0
